job_id,job_title,salary_usd,location,work_type,experience_level,industry,company_size,skills_required,num_skills,post_date,applicants
JP-10032,Data Scientist,160000,"New York, NY",On-Site,Senior (6-10 yrs),Healthcare,Mid-Market (201-1000),"Power BI, PyTorch, R, Java, Scikit-learn",5,2025-06-02,89
JP-10033,Analytics Engineer,156000,"Portland, OR",Hybrid,Mid (3-5 yrs),Healthcare,Enterprise (5000+),"Redshift, Scala, BigQuery, Java, Docker",5,2025-09-15,89
JP-10034,ML Engineer,187000,"Boston, MA",Remote,Entry (0-2 yrs),Education,Enterprise (5000+),"XGBoost, AWS, R, Google Sheets, Looker, Spark MLlib",6,2025-05-01,180
JP-10035,Data Engineer,138000,"Nashville, TN",On-Site,Mid (3-5 yrs),Technology,Large (1001-5000),"Redshift, Java, PyTorch, Git, Spark MLlib, MySQL, R",7,2025-09-12,75
JP-10036,ML Engineer,146000,"Seattle, WA",Hybrid,Mid (3-5 yrs),Technology,Small (51-200),"GCP, XGBoost, MongoDB, Google Sheets, Looker, R, Scala",7,2025-05-21,78
JP-10037,Data Analyst,101000,"Raleigh, NC",On-Site,Senior (6-10 yrs),Consulting,Enterprise (5000+),"Python, R, MongoDB",3,2025-06-08,78
JP-10038,BI Analyst,93000,"San Francisco, CA",Hybrid,Senior (6-10 yrs),Finance,Small (51-200),"Google Sheets, Scala",2,2025-06-01,76
JP-10039,BI Analyst,80000,"Boston, MA",Remote,Entry (0-2 yrs),Insurance,Enterprise (5000+),"Google Sheets, Looker, GCP",3,2025-10-27,179
JP-10040,Business Analyst,66000,"Miami, FL",Hybrid,Mid (3-5 yrs),Retail,Large (1001-5000),"Excel, BigQuery, Tableau, MongoDB",4,2025-10-03,73
JP-10041,Data Analyst,75000,"Atlanta, GA",Hybrid,Senior (6-10 yrs),Finance,Large (1001-5000),"MySQL, Excel, Google Sheets, Java",4,2025-10-06,74
JP-10042,Analytics Engineer,155000,"Miami, FL",Remote,Lead (10+ yrs),Insurance,Small (51-200),"Airflow, R, GCP",3,2025-10-28,128
JP-10043,Senior Data Analyst,111000,"Raleigh, NC",Hybrid,Lead (10+ yrs),Technology,Small (51-200),"R, dbt, Tableau, Google Sheets, Azure",5,2025-09-01,94
JP-10044,Data Scientist,117000,"Boston, MA",Hybrid,Mid (3-5 yrs),Retail,Mid-Market (201-1000),"SQL, Tableau, XGBoost, Excel, Redshift, Git, Scala",7,2025-08-21,73
JP-10045,Data Scientist,147000,"Denver, CO",On-Site,Senior (6-10 yrs),Manufacturing,Startup (1-50),"Databricks, PyTorch, Scala, Snowflake, Java, BigQuery",6,2025-02-19,73
JP-10046,BI Analyst,104000,"Boston, MA",Remote,Lead (10+ yrs),Healthcare,Startup (1-50),"Tableau, Excel",2,2025-03-21,132
JP-10047,Data Engineer,148000,"Austin, TX",Remote,Mid (3-5 yrs),Media,Enterprise (5000+),"Azure, Airflow, Python, Scala, AWS, BigQuery, Kafka",7,2025-07-12,105
JP-10048,Data Scientist,158000,"Boston, MA",Hybrid,Senior (6-10 yrs),Healthcare,Large (1001-5000),"R, Snowflake, XGBoost, MongoDB",4,2025-12-14,71
JP-10049,Senior Data Engineer,161000,"Atlanta, GA",Hybrid,Senior (6-10 yrs),Retail,Startup (1-50),"TensorFlow, BigQuery, Git, Spark MLlib, PostgreSQL, AWS, R, Kafka",8,2025-12-30,85
JP-10050,Data Engineer,142000,"Chicago, IL",Hybrid,Mid (3-5 yrs),Insurance,Enterprise (5000+),"SQL, PostgreSQL, Snowflake, Kafka, Python, Redshift",6,2025-11-27,72
JP-10051,BI Analyst,65000,"Austin, TX",Remote,Mid (3-5 yrs),Media,Small (51-200),"Google Sheets, Excel",2,2025-11-18,136
JP-10052,Business Analyst,94000,"Atlanta, GA",Hybrid,Senior (6-10 yrs),Retail,Large (1001-5000),"Java, AWS, Looker, Snowflake",4,2025-06-14,69
JP-10053,Data Engineer,116000,"Dallas, TX",On-Site,Senior (6-10 yrs),Manufacturing,Mid-Market (201-1000),"Redshift, Tableau, Power BI, PostgreSQL, Databricks, Azure",6,2025-10-13,96
JP-10054,Senior Data Engineer,213000,"Chicago, IL",On-Site,Lead (10+ yrs),Manufacturing,Large (1001-5000),"Snowflake, R, Docker, MySQL, Azure",5,2025-09-18,84
JP-10055,Business Analyst,95000,"Boston, MA",Remote,Senior (6-10 yrs),Healthcare,Small (51-200),"Python, Tableau, Google Sheets",3,2025-04-03,129
JP-10056,Analytics Engineer,83000,"Phoenix, AZ",On-Site,Mid (3-5 yrs),Finance,Small (51-200),"Docker, Java",2,2025-07-08,93
JP-10057,Senior Data Engineer,247000,"Portland, OR",Hybrid,Lead (10+ yrs),Healthcare,Large (1001-5000),"MySQL, Git, Snowflake, R",4,2025-08-12,76
JP-10058,Data Analyst,95000,"Nashville, TN",On-Site,Senior (6-10 yrs),Finance,Enterprise (5000+),"TensorFlow, Docker, PyTorch, Java",4,2025-08-18,93
JP-10059,Data Engineer,105000,"Nashville, TN",Remote,Entry (0-2 yrs),Insurance,Small (51-200),"Git, Airflow, SQL, Databricks, MySQL",5,2025-05-04,187
JP-10060,Data Engineer,129000,"Seattle, WA",Hybrid,Mid (3-5 yrs),Insurance,Mid-Market (201-1000),"MongoDB, Python, dbt, Redshift, Scala, GCP, Databricks",7,2025-12-17,93
JP-10061,Data Scientist,84000,"Minneapolis, MN",Hybrid,Entry (0-2 yrs),Media,Enterprise (5000+),"XGBoost, Python",2,2025-01-19,92
JP-10062,BI Analyst,81000,"Austin, TX",Hybrid,Senior (6-10 yrs),Finance,Enterprise (5000+),"Excel, Java, Looker",3,2025-02-12,70
JP-10063,BI Analyst,115000,"New York, NY",Hybrid,Mid (3-5 yrs),Finance,Enterprise (5000+),"PyTorch, XGBoost, Excel, Java, SQL",5,2025-07-06,84
JP-10064,Data Scientist,133000,"Minneapolis, MN",Remote,Senior (6-10 yrs),Retail,Startup (1-50),"XGBoost, Databricks, MySQL, R, Redshift",5,2025-11-29,116
JP-10065,Business Analyst,64000,Remote,Remote,Entry (0-2 yrs),Healthcare,Startup (1-50),"Power BI, Excel",2,2025-03-11,187
JP-10066,Analytics Engineer,97000,"Atlanta, GA",On-Site,Entry (0-2 yrs),Consulting,Mid-Market (201-1000),"MySQL, SQL, GCP, dbt, Kafka",5,2025-07-04,114
JP-10067,Senior Data Scientist,208000,"Boston, MA",On-Site,Senior (6-10 yrs),Technology,Large (1001-5000),"Scala, dbt, XGBoost, Scikit-learn, Java",5,2025-09-15,73
JP-10068,ML Engineer,216000,"San Francisco, CA",Remote,Mid (3-5 yrs),Finance,Small (51-200),"Redshift, MySQL, Spark MLlib, Git, Scala, PyTorch",6,2025-01-15,123
JP-10069,Data Analyst,80000,Remote,Remote,Entry (0-2 yrs),Technology,Enterprise (5000+),"PostgreSQL, Java, Python, Looker",4,2025-09-05,196
JP-10070,Data Scientist,165000,"Boston, MA",Remote,Mid (3-5 yrs),Government,Enterprise (5000+),"MongoDB, Power BI, SQL, MySQL, XGBoost, Azure",6,2025-09-21,128
JP-10071,Data Scientist,107000,"Nashville, TN",Hybrid,Mid (3-5 yrs),Finance,Startup (1-50),"Git, Excel, XGBoost, AWS, Python, PyTorch",6,2025-09-16,74
JP-10072,Data Scientist,126000,"Dallas, TX",On-Site,Mid (3-5 yrs),Technology,Large (1001-5000),"Power BI, SQL, PyTorch, Databricks",4,2025-06-17,77
JP-10073,ML Engineer,239000,"Boston, MA",Hybrid,Senior (6-10 yrs),Retail,Large (1001-5000),"Databricks, Java, GCP, Spark MLlib, PyTorch",5,2025-01-27,78
JP-10074,Data Engineer,222000,"Seattle, WA",Hybrid,Senior (6-10 yrs),Technology,Large (1001-5000),"Python, dbt, BigQuery, Excel, Databricks, Snowflake",6,2025-09-30,91
JP-10075,Business Analyst,80000,"Boston, MA",On-Site,Mid (3-5 yrs),Consulting,Large (1001-5000),"Google Sheets, R, Java",3,2025-06-28,91
JP-10076,Senior Data Scientist,136000,"Nashville, TN",On-Site,Senior (6-10 yrs),Healthcare,Small (51-200),"Kafka, Scikit-learn, SQL",3,2025-10-03,81
JP-10077,Business Analyst,66000,"Dallas, TX",Remote,Mid (3-5 yrs),Technology,Startup (1-50),"Excel, Scala, AWS, R, Azure",5,2025-05-27,131
JP-10078,Data Engineer,128000,"Nashville, TN",Remote,Mid (3-5 yrs),Consulting,Large (1001-5000),"AWS, Azure, Kafka",3,2025-10-18,128
JP-10079,Data Engineer,146000,"Nashville, TN",Hybrid,Senior (6-10 yrs),Healthcare,Mid-Market (201-1000),"Kafka, MySQL, Azure, Scala, Airflow",5,2025-02-14,85
JP-10080,Data Scientist,189000,"New York, NY",On-Site,Lead (10+ yrs),Technology,Mid-Market (201-1000),"GCP, Spark MLlib, SQL, PostgreSQL, MongoDB, Scikit-learn, AWS",7,2025-09-02,74
JP-10081,Data Analyst,77000,"Minneapolis, MN",Hybrid,Mid (3-5 yrs),Healthcare,Mid-Market (201-1000),"Tableau, Scala, R",3,2025-10-08,91
JP-10082,Analytics Engineer,133000,"Austin, TX",Hybrid,Senior (6-10 yrs),Finance,Small (51-200),"PostgreSQL, Azure, Python, Docker, Java",5,2025-10-24,80
JP-10083,Data Analyst,68000,"Denver, CO",On-Site,Entry (0-2 yrs),Education,Mid-Market (201-1000),"SQL, Power BI, Java",3,2025-07-13,118
JP-10084,Business Analyst,79000,"Miami, FL",Hybrid,Mid (3-5 yrs),Finance,Mid-Market (201-1000),"Scala, Google Sheets, Tableau",3,2025-05-07,76
JP-10085,Data Scientist,161000,"Seattle, WA",Remote,Senior (6-10 yrs),Technology,Enterprise (5000+),"TensorFlow, Azure, AWS, Tableau, R, Python",6,2025-10-23,131
JP-10086,Data Engineer,101000,"Miami, FL",Hybrid,Entry (0-2 yrs),Retail,Mid-Market (201-1000),"BigQuery, Docker, Azure, Python, Snowflake",5,2025-04-05,113
JP-10087,BI Analyst,72000,"Atlanta, GA",On-Site,Mid (3-5 yrs),Media,Mid-Market (201-1000),"MongoDB, Power BI, Google Sheets",3,2025-01-27,53
JP-10088,Business Analyst,73000,"Miami, FL",Hybrid,Entry (0-2 yrs),Media,Enterprise (5000+),"Looker, MySQL, BigQuery",3,2025-07-23,106
JP-10089,ML Engineer,160000,"Dallas, TX",On-Site,Senior (6-10 yrs),Finance,Mid-Market (201-1000),"Java, PyTorch, Git, TensorFlow",4,2025-10-11,88
JP-10090,ML Engineer,148000,"Portland, OR",Hybrid,Mid (3-5 yrs),Finance,Small (51-200),"dbt, SQL, Git, XGBoost, Spark MLlib",5,2025-09-26,65
JP-10091,Data Analyst,71000,"Raleigh, NC",On-Site,Mid (3-5 yrs),Finance,Large (1001-5000),"Power BI, Tableau",2,2025-12-04,81
JP-10092,Data Scientist,153000,"San Francisco, CA",Hybrid,Mid (3-5 yrs),Technology,Startup (1-50),"Azure, Kafka, PyTorch, Excel, Spark MLlib, Power BI",6,2025-06-03,75
JP-10093,Senior Data Engineer,206000,"Raleigh, NC",Hybrid,Lead (10+ yrs),Technology,Enterprise (5000+),"Snowflake, Airflow, Python, Redshift, BigQuery, Git",6,2025-10-06,78
JP-10094,Senior Data Scientist,221000,"San Francisco, CA",On-Site,Lead (10+ yrs),Retail,Mid-Market (201-1000),"PostgreSQL, Java, Python, XGBoost, PyTorch, MongoDB, Google Sheets",7,2025-11-06,85
JP-10095,BI Analyst,84000,Remote,Remote,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"MySQL, Java, Airflow, Power BI, Excel, R, dbt",7,2025-01-03,112
JP-10096,ML Engineer,102000,"Atlanta, GA",On-Site,Entry (0-2 yrs),Finance,Startup (1-50),"Scikit-learn, Python, Snowflake, AWS, Tableau",5,2025-03-28,120
JP-10097,Data Analyst,60000,"Chicago, IL",Hybrid,Mid (3-5 yrs),Finance,Startup (1-50),"SQL, PostgreSQL",2,2025-06-20,101
JP-10098,Analytics Engineer,124000,"Denver, CO",On-Site,Mid (3-5 yrs),Manufacturing,Mid-Market (201-1000),"dbt, Databricks, BigQuery, SQL, MongoDB, Power BI, GCP, Excel, Kafka",9,2025-12-29,83
JP-10099,Senior Data Analyst,102000,"Phoenix, AZ",On-Site,Lead (10+ yrs),Media,Startup (1-50),"Excel, Snowflake, Google Sheets, SQL, Databricks",5,2025-02-25,76
JP-10100,BI Analyst,52000,"Miami, FL",Hybrid,Entry (0-2 yrs),Government,Large (1001-5000),"Tableau, Excel, Databricks",3,2025-07-11,93
JP-10101,Business Analyst,42000,"Phoenix, AZ",Hybrid,Entry (0-2 yrs),Technology,Mid-Market (201-1000),"Power BI, Looker, Python",3,2025-08-13,127
JP-10102,BI Analyst,64000,"Atlanta, GA",Remote,Mid (3-5 yrs),Technology,Startup (1-50),"MySQL, R, Google Sheets, Redshift, Power BI",5,2025-08-19,105
JP-10103,Data Engineer,144000,"Denver, CO",On-Site,Senior (6-10 yrs),Media,Small (51-200),"MySQL, GCP, Scala, Kafka, Excel, Snowflake",6,2025-06-10,70
JP-10104,Data Analyst,76000,"Chicago, IL",Remote,Mid (3-5 yrs),Finance,Large (1001-5000),"Power BI, R, Docker",3,2025-09-06,132
JP-10105,Data Analyst,54000,"Raleigh, NC",On-Site,Mid (3-5 yrs),Consulting,Mid-Market (201-1000),"R, Databricks, Java, Power BI",4,2025-10-21,77
JP-10106,Data Analyst,77000,"Phoenix, AZ",On-Site,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"Scikit-learn, Power BI, Looker, Java",4,2025-12-30,91
JP-10107,Data Engineer,147000,"Denver, CO",Hybrid,Senior (6-10 yrs),Media,Enterprise (5000+),"Databricks, dbt, GCP, Airflow, Scala",5,2025-12-26,63
JP-10108,Analytics Engineer,127000,"Austin, TX",On-Site,Senior (6-10 yrs),Retail,Enterprise (5000+),"Kafka, SQL, AWS, Docker",4,2025-02-17,82
JP-10109,BI Analyst,61000,"Atlanta, GA",Hybrid,Entry (0-2 yrs),Healthcare,Mid-Market (201-1000),"Looker, R, PostgreSQL",3,2025-11-17,107
JP-10110,BI Analyst,79000,"Atlanta, GA",Remote,Mid (3-5 yrs),Technology,Enterprise (5000+),"Looker, MySQL, AWS, PostgreSQL, GCP, Power BI",6,2025-12-27,129
JP-10111,Data Analyst,76000,"Austin, TX",Remote,Mid (3-5 yrs),Finance,Large (1001-5000),"XGBoost, Airflow, BigQuery, Python, Kafka",5,2025-11-09,113
JP-10112,Data Engineer,100000,"Atlanta, GA",On-Site,Mid (3-5 yrs),Finance,Large (1001-5000),"Python, Git, Excel, MongoDB, Azure, Scala, PostgreSQL",7,2025-06-01,85
JP-10113,Data Engineer,98000,"Phoenix, AZ",On-Site,Mid (3-5 yrs),Technology,Small (51-200),"Docker, Spark MLlib, MongoDB, Python, Airflow, XGBoost",6,2025-11-18,90
JP-10114,BI Analyst,77000,"Phoenix, AZ",Hybrid,Mid (3-5 yrs),Healthcare,Mid-Market (201-1000),"Power BI, Python",2,2025-06-08,74
JP-10115,Senior Data Engineer,144000,"Minneapolis, MN",On-Site,Mid (3-5 yrs),Finance,Startup (1-50),"Databricks, Redshift, PostgreSQL, SQL, R, Power BI, dbt, Tableau",8,2025-09-12,83
JP-10116,Data Scientist,160000,"Boston, MA",Hybrid,Mid (3-5 yrs),Technology,Large (1001-5000),"Airflow, Python, PyTorch, Tableau",4,2025-05-08,89
JP-10117,Data Scientist,89000,"Minneapolis, MN",Remote,Mid (3-5 yrs),Healthcare,Startup (1-50),"Scala, PyTorch, BigQuery",3,2025-04-13,139
JP-10118,Business Analyst,72000,"Phoenix, AZ",On-Site,Mid (3-5 yrs),Government,Small (51-200),"AWS, Power BI, Azure, Google Sheets",4,2025-12-03,78
JP-10119,Business Analyst,94000,"Minneapolis, MN",Hybrid,Lead (10+ yrs),Finance,Small (51-200),"Java, SQL, AWS",3,2025-10-25,76
JP-10120,Data Analyst,91000,"Seattle, WA",On-Site,Mid (3-5 yrs),Finance,Startup (1-50),"Looker, MySQL",2,2025-04-14,78
JP-10121,Data Analyst,67000,"Phoenix, AZ",Remote,Mid (3-5 yrs),Finance,Startup (1-50),"Tableau, MongoDB, R, GCP, BigQuery, AWS",6,2025-01-16,107
JP-10122,ML Engineer,117000,"Raleigh, NC",Hybrid,Entry (0-2 yrs),Technology,Large (1001-5000),"PyTorch, Scikit-learn, Python, BigQuery, Airflow",5,2025-01-22,125
JP-10123,ML Engineer,254000,"San Francisco, CA",On-Site,Senior (6-10 yrs),Healthcare,Mid-Market (201-1000),"PyTorch, SQL, Airflow, Azure, TensorFlow, Docker, BigQuery",7,2025-07-15,77
JP-10124,BI Analyst,121000,"Boston, MA",Hybrid,Senior (6-10 yrs),Healthcare,Mid-Market (201-1000),"Looker, Databricks, GCP, SQL",4,2025-05-17,66
JP-10125,Senior Data Scientist,227000,"Phoenix, AZ",On-Site,Lead (10+ yrs),Healthcare,Large (1001-5000),"Power BI, MySQL, Google Sheets, PyTorch, GCP",5,2025-01-20,100
JP-10126,Data Analyst,68000,"Austin, TX",Remote,Entry (0-2 yrs),Education,Mid-Market (201-1000),"dbt, R",2,2025-02-07,176
JP-10127,Business Analyst,60000,Remote,Remote,Entry (0-2 yrs),Finance,Mid-Market (201-1000),"Power BI, Looker, Java",3,2025-12-07,190
JP-10128,Data Engineer,150000,"Seattle, WA",Hybrid,Entry (0-2 yrs),Consulting,Large (1001-5000),"Docker, AWS, MongoDB, MySQL, Databricks, Spark MLlib",6,2025-08-17,123
JP-10129,Data Analyst,73000,"Austin, TX",Hybrid,Mid (3-5 yrs),Consulting,Mid-Market (201-1000),"Python, Java",2,2025-03-25,61
JP-10130,Data Scientist,97000,"Phoenix, AZ",Remote,Mid (3-5 yrs),Technology,Startup (1-50),"Scikit-learn, Tableau, R, Looker, Python",5,2025-02-21,148
JP-10131,Business Analyst,63000,Remote,Remote,Mid (3-5 yrs),Education,Mid-Market (201-1000),"Snowflake, Tableau",2,2025-12-05,110
JP-10132,Data Engineer,138000,"Atlanta, GA",Remote,Senior (6-10 yrs),Government,Small (51-200),"Kafka, Java",2,2025-04-06,105
JP-10133,Data Scientist,125000,"Chicago, IL",Hybrid,Mid (3-5 yrs),Technology,Small (51-200),"Python, XGBoost, Spark MLlib, BigQuery, SQL, Azure, AWS",7,2025-03-30,64
JP-10134,ML Engineer,155000,"Seattle, WA",Remote,Entry (0-2 yrs),Technology,Small (51-200),"AWS, R, PyTorch, Databricks",4,2025-02-27,145
JP-10135,Data Scientist,247000,"Seattle, WA",Hybrid,Lead (10+ yrs),Education,Large (1001-5000),"Git, Docker, SQL, MySQL",4,2025-06-19,77
JP-10136,Senior Data Engineer,258000,"San Francisco, CA",Hybrid,Senior (6-10 yrs),Finance,Small (51-200),"Kafka, Java, MySQL, Git, Azure, PostgreSQL, Databricks",7,2025-01-29,87
JP-10137,Data Scientist,100000,"Seattle, WA",Hybrid,Entry (0-2 yrs),Manufacturing,Mid-Market (201-1000),"TensorFlow, PyTorch, Docker, AWS, R",5,2025-09-08,123
JP-10138,Data Engineer,153000,"Seattle, WA",On-Site,Mid (3-5 yrs),Technology,Large (1001-5000),"BigQuery, PostgreSQL, Python, SQL, Azure, Docker, Google Sheets",7,2025-11-08,94
JP-10139,BI Analyst,80000,"Chicago, IL",On-Site,Mid (3-5 yrs),Finance,Large (1001-5000),"Google Sheets, Java",2,2025-10-15,61
JP-10140,Data Engineer,86000,"Portland, OR",Remote,Entry (0-2 yrs),Government,Startup (1-50),"Kafka, dbt, Power BI, SQL, Redshift, MongoDB, Scala",7,2025-06-25,187
JP-10141,BI Analyst,105000,"Austin, TX",Hybrid,Senior (6-10 yrs),Retail,Enterprise (5000+),"Google Sheets, GCP, Power BI",3,2025-12-02,104
JP-10142,Data Analyst,76000,"Boston, MA",On-Site,Mid (3-5 yrs),Finance,Mid-Market (201-1000),"Redshift, Python, Google Sheets, Git, Tableau, MySQL, Kafka",7,2025-04-03,92
JP-10143,BI Analyst,78000,"Atlanta, GA",Hybrid,Mid (3-5 yrs),Technology,Small (51-200),"R, Tableau, Power BI, Scala",4,2025-10-01,64
JP-10144,Senior Data Analyst,198000,"Boston, MA",Remote,Lead (10+ yrs),Technology,Mid-Market (201-1000),"GCP, PyTorch, MySQL, Power BI, MongoDB, R, Spark MLlib, Git, Scala",9,2025-04-25,129
JP-10145,BI Analyst,88000,"Seattle, WA",On-Site,Entry (0-2 yrs),Finance,Large (1001-5000),"Docker, BigQuery, Tableau, Looker, Scikit-learn",5,2025-06-04,110
JP-10146,Data Scientist,192000,"New York, NY",Hybrid,Senior (6-10 yrs),Finance,Large (1001-5000),"Azure, dbt, GCP, Tableau, TensorFlow, Scala",6,2025-12-10,94
JP-10147,Data Analyst,97000,"New York, NY",Hybrid,Senior (6-10 yrs),Media,Mid-Market (201-1000),"AWS, R, GCP, Excel, Looker, PostgreSQL, SQL",7,2025-11-15,79
JP-10148,Business Analyst,50000,"Minneapolis, MN",Hybrid,Entry (0-2 yrs),Finance,Mid-Market (201-1000),"Scala, Tableau, Power BI, Redshift, Java",5,2025-07-03,99
JP-10149,Data Engineer,152000,"Raleigh, NC",On-Site,Lead (10+ yrs),Healthcare,Large (1001-5000),"Tableau, BigQuery, Python, MySQL, Git, Java, Power BI",7,2025-01-06,82
JP-10150,Data Engineer,272000,"Seattle, WA",On-Site,Lead (10+ yrs),Technology,Enterprise (5000+),"Docker, Excel, BigQuery, Snowflake, SQL",5,2025-01-19,81
JP-10151,Senior Data Scientist,284000,"San Francisco, CA",Remote,Senior (6-10 yrs),Finance,Large (1001-5000),"MySQL, Kafka, Spark MLlib, Docker, Java, Azure, PostgreSQL",7,2025-01-24,136
